"日期","当日粉丝数","当日阅读数"
"2026-07-31","6","343"
"2026-08-01","2","203"
"2026-08-02","1","219"
"2026-08-03","3","398"
"2026-08-04","4","387"
"2026-08-05","8","381"
"2026-08-06","5","402"
"2026-08-07","8","358"
"2026-08-08","4","205"
"2026-08-09","6","236"
"2026-08-10","7","359"
"2026-08-11","2","274"
"2026-08-12","8","361"
"2026-08-13","10","431"
"2026-08-14","15","378"
"2026-08-15","14","191"
"2026-08-16","35","195"
"2026-08-17","9","416"
"2026-08-18","10","374"
"2026-08-19","7","392"
"2026-08-21","4","341"
"2026-08-22","4","234"
"2026-08-23","6","234"
"2026-08-24","8","464"
"2026-08-25","6","472"
"2026-08-26","6","462"
"2026-08-27","4","355"
"2026-08-28","3","268"
"2026-08-29","2","174"
